journey_id,line,direction,origin,destination,stop_id,scheduled_arrival,expected_arrival,scheduled_departure,expected_departure,arrival_status,departure_status,collection_time,arrival_delay_min,departure_delay_min,journey_stop_id,previous_delay_min,previous_departure_delay_min,delay_change_min,future_arrival_delay_min,target_delayed,scheduled_arrival_paris,hour,day_of_week,minutes_to_scheduled
SNCF_MAGENTA_PRD:VehicleJourney::b3ee60ca-e69b-4be4-b94e-52c208fc065b:LOC,B,Aller,Aéroport Charles de Gaulle 2 (Terminal 2),Robinson,STIF:StopArea:SP:43097:,2026-08-20 16:58:14+00:00,2026-08-20 16:59:50+00:00,2026-08-20 16:58:49+00:00,2026-08-20 17:00:10+00:00,ON_TIME,ON_TIME,2026-08-20 16:13:14.857448+00:00,1.6,1.35,SNCF_MAGENTA_PRD:VehicleJourney::b3ee60ca-e69b-4be4-b94e-52c208fc065b:LOC_STIF:StopArea:SP:43097:,1.6,1.35,0.0,1.6,0,2026-08-20 18:58:14+02:00,18.0,3.0,44.985709199999995
SNCF_MAGENTA_PRD:VehicleJourney::1c49b835-c5e4-4b5b-8d07-0cc4bc691ccf:LOC,B,Retour,Massy-Palaiseau,Mitry - Claye,STIF:StopArea:SP:462394:,2026-08-20 16:59:00+00:00,2026-08-20 16:59:00+00:00,2026-08-20 17:00:00+00:00,2026-08-20 17:00:00+00:00,ON_TIME,ON_TIME,2026-08-20 16:13:14.857448+00:00,0.0,0.0,SNCF_MAGENTA_PRD:VehicleJourney::1c49b835-c5e4-4b5b-8d07-0cc4bc691ccf:LOC_STIF:StopArea:SP:462394:,0.0,0.0,0.0,0.0,0,2026-08-20 18:59:00+02:00,18.0,3.0,45.75237586666666
SNCF_MAGENTA_PRD:VehicleJourney::f41196f5-3bdc-4be1-abb2-6e90f916d238:LOC,B,Aller,Mitry - Claye,Saint-Rémy-lès-Chevreuse,STIF:StopArea:SP:47052:,2026-08-20 17:44:49+00:00,2026-08-20 17:44:49+00:00,2026-08-20 17:45:11+00:00,2026-08-20 17:45:09+00:00,ON_TIME,ON_TIME,2026-08-20 16:13:14.857448+00:00,0.0,-0.03333333333333333,SNCF_MAGENTA_PRD:VehicleJourney::f41196f5-3bdc-4be1-abb2-6e90f916d238:LOC_STIF:StopArea:SP:47052:,0.0,-0.03333333333333333,0.0,0.0,0,2026-08-20 19:44:49+02:00,19.0,3.0,91.56904253333333
SNCF_MAGENTA_PRD:VehicleJourney::b2639b27-9122-4c97-8a19-ff0fb9d5901b:LOC,B,Aller,Aéroport Charles de Gaulle 2 (Terminal 2),Massy-Palaiseau,STIF:StopArea:SP:47940:,2026-08-20 16:33:29+00:00,2026-08-20 16:33:29+00:00,2026-08-20 16:33:57+00:00,2026-08-20 16:33:49+00:00,ON_TIME,ON_TIME,2026-08-20 16:13:14.857448+00:00,0.0,-0.13333333333333333,SNCF_MAGENTA_PRD:VehicleJourney::b2639b27-9122-4c97-8a19-ff0fb9d5901b:LOC_STIF:StopArea:SP:47940:,0.0,-0.13333333333333333,0.0,0.0,0,2026-08-20 18:33:29+02:00,18.0,3.0,20.2357092
SNCF_MAGENTA_PRD:VehicleJourney::d1d6a824-8a91-490f-a5b0-5a3534c9edd3:LOC,B,Aller,Aéroport Charles de Gaulle 2 (Terminal 2),Massy-Palaiseau,STIF:StopArea:SP:43607:,2026-08-20 17:15:56+00:00,2026-08-20 17:15:56+00:00,2026-08-20 17:16:29+00:00,2026-08-20 17:16:16+00:00,ON_TIME,ON_TIME,2026-08-20 16:13:14.857448+00:00,0.0,-0.21666666666666667,SNCF_MAGENTA_PRD:VehicleJourney::d1d6a824-8a91-490f-a5b0-5a3534c9edd3:LOC_STIF:StopArea:SP:43607:,0.0,-0.21666666666666667,0.0,0.0,0,2026-08-20 19:15:56+02:00,19.0,3.0,62.6857092
SNCF_MAGENTA_PRD:VehicleJourney::c71d8163-e6d3-4df1-833a-f5325f02042a:LOC,B,Retour,Saint-Rémy-lès-Chevreuse,Aéroport Charles de Gaulle 2 (Terminal 2),STIF:StopArea:SP:47878:,2026-08-20 18:13:20+00:00,2026-08-20 18:13:20+00:00,2026-08-20 18:14:10+00:00,2026-08-20 18:14:10+00:00,ON_TIME,ON_TIME,2026-08-20 16:13:14.857448+00:00,0.0,0.0,SNCF_MAGENTA_PRD:VehicleJourney::c71d8163-e6d3-4df1-833a-f5325f02042a:LOC_STIF:StopArea:SP:47878:,0.0,0.0,0.0,0.0,0,2026-08-20 20:13:20+02:00,20.0,3.0,120.08570920000001
SNCF_MAGENTA_PRD:VehicleJourney::c71d8163-e6d3-4df1-833a-f5325f02042a:LOC,B,Retour,Saint-Rémy-lès-Chevreuse,Aéroport Charles de Gaulle 2 (Terminal 2),STIF:StopArea:SP:473890:,2026-08-20 17:35:14+00:00,2026-08-20 17:35:14+00:00,2026-08-20 17:36:14+00:00,2026-08-20 17:35:34+00:00,ON_TIME,ON_TIME,2026-08-20 16:13:14.857448+00:00,0.0,-0.6666666666666666,SNCF_MAGENTA_PRD:VehicleJourney::c71d8163-e6d3-4df1-833a-f5325f02042a:LOC_STIF:StopArea:SP:473890:,0.0,-0.6666666666666666,0.0,0.0,0,2026-08-20 19:35:14+02:00,19.0,3.0,81.9857092
SNCF_MAGENTA_PRD:VehicleJourney::1b2505a5-0385-47a1-9fdf-6c0cd5082beb:LOC,B,Retour,Massy-Palaiseau,Mitry - Claye,STIF:StopArea:SP:44877:,2026-08-20 16:23:18+00:00,2026-08-20 16:22:17+00:00,2026-08-20 16:23:59+00:00,2026-08-20 16:22:37+00:00,ON_TIME,ON_TIME,2026-08-20 16:13:14.857448+00:00,-1.0166666666666666,-1.3666666666666667,SNCF_MAGENTA_PRD:VehicleJourney::1b2505a5-0385-47a1-9fdf-6c0cd5082beb:LOC_STIF:StopArea:SP:44877:,-0.5166666666666667,-0.8666666666666667,-0.4999999999999999,-1.0166666666666666,0,2026-08-20 18:23:18+02:00,18.0,3.0,10.052375866666667
SNCF_MAGENTA_PRD:VehicleJourney::c6676240-1c6b-4773-8e8e-21fe979d7896:LOC,B,Retour,Robinson,Aéroport Charles de Gaulle 2 (Terminal 2),STIF:StopArea:SP:43833:,2026-08-20 16:45:04+00:00,2026-08-20 16:45:04+00:00,2026-08-20 16:45:42+00:00,2026-08-20 16:45:24+00:00,ON_TIME,ON_TIME,2026-08-20 16:13:14.857448+00:00,0.0,-0.3,SNCF_MAGENTA_PRD:VehicleJourney::c6676240-1c6b-4773-8e8e-21fe979d7896:LOC_STIF:StopArea:SP:43833:,0.0,-0.3,0.0,0.0,0,2026-08-20 18:45:04+02:00,18.0,3.0,31.819042533333334
SNCF_MAGENTA_PRD:VehicleJourney::1b2505a5-0385-47a1-9fdf-6c0cd5082beb:LOC,B,Retour,Massy-Palaiseau,Mitry - Claye,STIF:StopArea:SP:45102:,2026-08-20 16:25:19+00:00,2026-08-20 16:24:18+00:00,2026-08-20 16:26:00+00:00,2026-08-20 16:24:38+00:00,ON_TIME,ON_TIME,2026-08-20 16:13:14.857448+00:00,-1.0166666666666666,-1.3666666666666667,SNCF_MAGENTA_PRD:VehicleJourney::1b2505a5-0385-47a1-9fdf-6c0cd5082beb:LOC_STIF:StopArea:SP:45102:,-0.5166666666666667,-0.8666666666666667,-0.4999999999999999,-1.0166666666666666,0,2026-08-20 18:25:19+02:00,18.0,3.0,12.069042533333334
SNCF_MAGENTA_PRD:VehicleJourney::c6676240-1c6b-4773-8e8e-21fe979d7896:LOC,B,Retour,Robinson,Aéroport Charles de Gaulle 2 (Terminal 2),STIF:StopArea:SP:43607:,2026-08-20 16:35:26+00:00,2026-08-20 16:35:26+00:00,2026-08-20 16:35:58+00:00,2026-08-20 16:35:46+00:00,ON_TIME,ON_TIME,2026-08-20 16:13:14.857448+00:00,0.0,-0.2,SNCF_MAGENTA_PRD:VehicleJourney::c6676240-1c6b-4773-8e8e-21fe979d7896:LOC_STIF:StopArea:SP:43607:,0.0,-0.2,0.0,0.0,0,2026-08-20 18:35:26+02:00,18.0,3.0,22.1857092
SNCF_MAGENTA_PRD:VehicleJourney::c6676240-1c6b-4773-8e8e-21fe979d7896:LOC,B,Retour,Robinson,Aéroport Charles de Gaulle 2 (Terminal 2),STIF:StopArea:SP:43231:,2026-08-20 17:04:20+00:00,2026-08-20 17:04:20+00:00,2026-08-20 17:04:50+00:00,2026-08-20 17:04:50+00:00,ON_TIME,ON_TIME,2026-08-20 16:13:14.857448+00:00,0.0,0.0,SNCF_MAGENTA_PRD:VehicleJourney::c6676240-1c6b-4773-8e8e-21fe979d7896:LOC_STIF:StopArea:SP:43231:,0.0,0.0,0.0,0.0,0,2026-08-20 19:04:20+02:00,19.0,3.0,51.0857092
SNCF_MAGENTA_PRD:VehicleJourney::1b2505a5-0385-47a1-9fdf-6c0cd5082beb:LOC,B,Retour,Massy-Palaiseau,Mitry - Claye,STIF:StopArea:SP:46163:,2026-08-20 16:45:10+00:00,2026-08-20 16:45:10+00:00,2026-08-20 16:45:40+00:00,2026-08-20 16:45:40+00:00,ON_TIME,ON_TIME,2026-08-20 16:13:14.857448+00:00,0.0,0.0,SNCF_MAGENTA_PRD:VehicleJourney::1b2505a5-0385-47a1-9fdf-6c0cd5082beb:LOC_STIF:StopArea:SP:46163:,0.0,0.0,0.0,0.0,0,2026-08-20 18:45:10+02:00,18.0,3.0,31.919042533333332
SNCF_MAGENTA_PRD:VehicleJourney::c6676240-1c6b-4773-8e8e-21fe979d7896:LOC,B,Retour,Robinson,Aéroport Charles de Gaulle 2 (Terminal 2),STIF:StopArea:SP:43193:,2026-08-20 17:14:50+00:00,2026-08-20 17:14:50+00:00,2026-08-20 17:15:20+00:00,2026-08-20 17:15:20+00:00,ON_TIME,ON_TIME,2026-08-20 16:13:14.857448+00:00,0.0,0.0,SNCF_MAGENTA_PRD:VehicleJourney::c6676240-1c6b-4773-8e8e-21fe979d7896:LOC_STIF:StopArea:SP:43193:,0.0,0.0,0.0,0.0,0,2026-08-20 19:14:50+02:00,19.0,3.0,61.5857092
